model,experiment,random_seed,early_stopping,model_path,hyperparameters,train_accuracy,train_f1_weighted,train_f1_macro,train_precision_weighted,train_precision_macro,train_recall_weighted,train_recall_macro,train_top_1_accuracy,train_top_2_accuracy,train_top_3_accuracy,train_top_4_accuracy,train_top_5_accuracy,train_recognition_rate,test_accuracy,test_f1_weighted,test_f1_macro,test_precision_weighted,test_precision_macro,test_recall_weighted,test_recall_macro,test_top_1_accuracy,test_top_2_accuracy,test_top_3_accuracy,test_top_4_accuracy,test_top_5_accuracy,test_recognition_rate
SVM,TI_vs_F,42,False,experiment_results_2025-05-26T19-41-11/svm_TI_vs_F_2025-05-26T19-41-11_seed42.pkl,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.4166666666666667,0.4105023063356397,0.4105023063356397,0.6021461160953914,0.6021461160953914,0.4166666666666667,0.4166666666666667,0.0,0.0,0.006944444444444444,0.006944444444444444,0.013888888888888888,0.0,0.125,0.09151234567901234,0.09151234567901234,0.08779761904761904,0.08779761904761904,0.125,0.125,0.0,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0
RandomForest,F_vs_I,42,False,experiment_results_2025-05-26T19-41-11/randomforest_F_vs_I_2025-05-26T19-41-11_seed42.pkl,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8055555555555556,0.7816137566137566,0.7816137566137566,0.8166666666666667,0.8166666666666667,0.8055555555555556,0.8055555555555556,0.8055555555555556,0.875,0.9166666666666666,0.9722222222222222,0.9861111111111112,0.0
XGBoost,F_vs_I,42,False,experiment_results_2025-05-26T19-41-11/xgboost_F_vs_I_2025-05-26T19-41-11_seed42.pkl,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200, 'reg_lambda': 1, 'subsample': 0.8}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5833333333333334,0.5559964726631393,0.5559964726631393,0.6023809523809525,0.6023809523809525,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.7222222222222222,0.8055555555555556,0.8333333333333334,0.8472222222222222,0.0
CatBoost,F_vs_I,42,False,experiment_results_2025-05-26T19-41-11/catboost_F_vs_I_2025-05-26T19-41-11_seed42.pkl,"{'border_count': 64, 'depth': 6, 'iterations': 200, 'l2_leaf_reg': 3, 'learning_rate': 0.05}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7777777777777778,0.7317460317460318,0.7317460317460318,0.7490740740740741,0.7490740740740741,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.875,0.8888888888888888,0.9027777777777778,0.9305555555555556,0.0
SVM,F_vs_I,42,False,experiment_results_2025-05-26T19-41-11/svm_F_vs_I_2025-05-26T19-41-11_seed42.pkl,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.6111111111111112,0.632010582010582,0.632010582010582,0.7680555555555555,0.7680555555555555,0.6111111111111112,0.6111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.07222222222222222,0.07222222222222222,0.07881054131054131,0.07881054131054131,0.1111111111111111,0.1111111111111111,0.027777777777777776,0.041666666666666664,0.05555555555555555,0.05555555555555555,0.06944444444444445,0.0
RandomForest,F_vs_T,42,False,experiment_results_2025-05-26T19-41-11/randomforest_F_vs_T_2025-05-26T19-41-11_seed42.pkl,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7638888888888888,0.7362433862433863,0.7362433862433863,0.7564814814814815,0.7564814814814815,0.7638888888888888,0.7638888888888888,0.7638888888888888,0.8472222222222222,0.8888888888888888,0.9166666666666666,0.9583333333333334,0.0
XGBoost,F_vs_T,42,False,experiment_results_2025-05-26T19-41-11/xgboost_F_vs_T_2025-05-26T19-41-11_seed42.pkl,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200, 'reg_lambda': 1, 'subsample': 0.8}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.4583333333333333,0.43324514991181656,0.43324514991181656,0.469510582010582,0.469510582010582,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.6666666666666666,0.7638888888888888,0.8472222222222222,0.9027777777777778,0.0
CatBoost,F_vs_T,42,False,experiment_results_2025-05-26T19-41-11/catboost_F_vs_T_2025-05-26T19-41-11_seed42.pkl,"{'border_count': 64, 'depth': 6, 'iterations': 200, 'l2_leaf_reg': 3, 'learning_rate': 0.05}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7638888888888888,0.7269841269841271,0.7269841269841271,0.724074074074074,0.724074074074074,0.7638888888888888,0.7638888888888888,0.7638888888888888,0.8472222222222222,0.9444444444444444,0.9583333333333334,0.9583333333333334,0.0
SVM,F_vs_T,42,False,experiment_results_2025-05-26T19-41-11/svm_F_vs_T_2025-05-26T19-41-11_seed42.pkl,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.6111111111111112,0.632010582010582,0.632010582010582,0.7680555555555555,0.7680555555555555,0.6111111111111112,0.6111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.08009259259259259,0.08009259259259259,0.07768620268620269,0.07768620268620269,0.125,0.125,0.013888888888888888,0.041666666666666664,0.041666666666666664,0.05555555555555555,0.08333333333333333,0.0
RandomForest,I_vs_F,42,False,experiment_results_2025-05-26T19-41-11/randomforest_I_vs_F_2025-05-26T19-41-11_seed42.pkl,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8194444444444444,0.8185185185185185,0.8185185185185185,0.8657407407407407,0.8657407407407407,0.8194444444444444,0.8194444444444444,0.8194444444444444,0.875,0.9166666666666666,0.9166666666666666,0.9305555555555556,0.0
XGBoost,I_vs_F,42,False,experiment_results_2025-05-26T19-41-11/xgboost_I_vs_F_2025-05-26T19-41-11_seed42.pkl,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200, 'reg_lambda': 1, 'subsample': 0.8}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6388888888888888,0.6083333333333333,0.6083333333333333,0.6319444444444444,0.6319444444444444,0.6388888888888888,0.6388888888888888,0.6388888888888888,0.7777777777777778,0.8472222222222222,0.8472222222222222,0.875,0.0
CatBoost,I_vs_F,42,False,experiment_results_2025-05-26T19-41-11/catboost_I_vs_F_2025-05-26T19-41-11_seed42.pkl,"{'border_count': 64, 'depth': 4, 'iterations': 100, 'l2_leaf_reg': 5, 'learning_rate': 0.05}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.75,0.7260582010582011,0.7260582010582011,0.7657407407407408,0.7657407407407408,0.75,0.75,0.75,0.8333333333333334,0.8888888888888888,0.9444444444444444,0.9583333333333334,0.0
SVM,I_vs_F,42,False,experiment_results_2025-05-26T19-41-11/svm_I_vs_F_2025-05-26T19-41-11_seed42.pkl,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.6666666666666666,0.6747354497354497,0.6747354497354497,0.8060185185185185,0.8060185185185185,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.06666666666666667,0.06666666666666667,0.057870370370370364,0.057870370370370364,0.08333333333333333,0.08333333333333333,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.027777777777777776,0.05555555555555555,0.0
RandomForest,I_vs_T,42,False,experiment_results_2025-05-26T19-41-11/randomforest_I_vs_T_2025-05-26T19-41-11_seed42.pkl,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8194444444444444,0.7962962962962963,0.7962962962962963,0.8055555555555556,0.8055555555555556,0.8194444444444444,0.8194444444444444,0.8194444444444444,0.9305555555555556,0.9444444444444444,0.9583333333333334,1.0,0.0
XGBoost,I_vs_T,42,False,experiment_results_2025-05-26T19-41-11/xgboost_I_vs_T_2025-05-26T19-41-11_seed42.pkl,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200, 'reg_lambda': 1, 'subsample': 0.8}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5555555555555556,0.5296296296296297,0.5296296296296297,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.75,0.8333333333333334,0.875,0.8888888888888888,0.0
CatBoost,I_vs_T,42,False,experiment_results_2025-05-26T19-41-11/catboost_I_vs_T_2025-05-26T19-41-11_seed42.pkl,"{'border_count': 64, 'depth': 4, 'iterations': 100, 'l2_leaf_reg': 5, 'learning_rate': 0.05}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7916666666666666,0.7648148148148147,0.7648148148148147,0.7731481481481481,0.7731481481481481,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.875,0.9305555555555556,0.9722222222222222,0.9861111111111112,0.0
SVM,I_vs_T,42,False,experiment_results_2025-05-26T19-41-11/svm_I_vs_T_2025-05-26T19-41-11_seed42.pkl,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.6666666666666666,0.6747354497354497,0.6747354497354497,0.8060185185185185,0.8060185185185185,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.11635802469135803,0.11635802469135803,0.09689153439153439,0.09689153439153439,0.16666666666666666,0.16666666666666666,0.013888888888888888,0.027777777777777776,0.027777777777777776,0.041666666666666664,0.041666666666666664,0.0
RandomForest,T_vs_F,42,False,experiment_results_2025-05-26T19-41-11/randomforest_T_vs_F_2025-05-26T19-41-11_seed42.pkl,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7638888888888888,0.7310846560846561,0.7310846560846561,0.7324074074074074,0.7324074074074074,0.7638888888888888,0.7638888888888888,0.7638888888888888,0.8888888888888888,0.9027777777777778,0.9305555555555556,0.9444444444444444,0.0
XGBoost,T_vs_F,42,False,experiment_results_2025-05-26T19-41-11/xgboost_T_vs_F_2025-05-26T19-41-11_seed42.pkl,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 200, 'reg_lambda': 1, 'subsample': 0.8}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.4722222222222222,0.4583333333333333,0.4583333333333333,0.49537037037037035,0.49537037037037035,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.6666666666666666,0.8055555555555556,0.8611111111111112,0.875,0.0
CatBoost,T_vs_F,42,False,experiment_results_2025-05-26T19-41-11/catboost_T_vs_F_2025-05-26T19-41-11_seed42.pkl,"{'border_count': 64, 'depth': 4, 'iterations': 200, 'l2_leaf_reg': 3, 'learning_rate': 0.05}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,0.6056878306878307,0.6056878306878307,0.5990740740740741,0.5990740740740741,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8055555555555556,0.8611111111111112,0.8888888888888888,0.9444444444444444,0.0
SVM,T_vs_F,42,False,experiment_results_2025-05-26T19-41-11/svm_T_vs_F_2025-05-26T19-41-11_seed42.pkl,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.6944444444444444,0.7010582010582012,0.7010582010582012,0.8282407407407407,0.8282407407407407,0.6944444444444444,0.6944444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.1527777777777778,0.11155202821869488,0.11155202821869488,0.10353835978835979,0.10353835978835979,0.1527777777777778,0.1527777777777778,0.0,0.0,0.027777777777777776,0.041666666666666664,0.041666666666666664,0.0
RandomForest,T_vs_I,42,False,experiment_results_2025-05-26T19-41-11/randomforest_T_vs_I_2025-05-26T19-41-11_seed42.pkl,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8472222222222222,0.8175925925925926,0.8175925925925926,0.824074074074074,0.824074074074074,0.8472222222222222,0.8472222222222222,0.8472222222222222,0.9444444444444444,0.9444444444444444,0.9722222222222222,0.9722222222222222,0.0
XGBoost,T_vs_I,42,False,experiment_results_2025-05-26T19-41-11/xgboost_T_vs_I_2025-05-26T19-41-11_seed42.pkl,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 200, 'reg_lambda': 1, 'subsample': 0.8}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.625,0.5899470899470899,0.5899470899470899,0.5944444444444446,0.5944444444444446,0.625,0.625,0.625,0.7222222222222222,0.8472222222222222,0.9305555555555556,0.9583333333333334,0.0
CatBoost,T_vs_I,42,False,experiment_results_2025-05-26T19-41-11/catboost_T_vs_I_2025-05-26T19-41-11_seed42.pkl,"{'border_count': 64, 'depth': 4, 'iterations': 200, 'l2_leaf_reg': 3, 'learning_rate': 0.05}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8333333333333334,0.8056878306878307,0.8056878306878307,0.8166666666666667,0.8166666666666667,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.875,0.9722222222222222,0.9861111111111112,0.9861111111111112,0.0
SVM,T_vs_I,42,False,experiment_results_2025-05-26T19-41-11/svm_T_vs_I_2025-05-26T19-41-11_seed42.pkl,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.6944444444444444,0.7010582010582012,0.7010582010582012,0.8282407407407407,0.8282407407407407,0.6944444444444444,0.6944444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.19444444444444445,0.15123456790123455,0.15123456790123455,0.1433531746031746,0.1433531746031746,0.19444444444444445,0.19444444444444445,0.0,0.0,0.027777777777777776,0.05555555555555555,0.06944444444444445,0.0
