model,experiment,scaler,early_stopping,k_value,train_top_k_accuracy,test_top_k_accuracy,model_path,hyperparameters,timestamp
RandomForest,FI_vs_T_no_scaling,NONE,False,1,1.0,0.9444444444444444,experiment_results_20250526_181934/RandomForest_FI_vs_T_no_scaling_NONE_20250526_181938.pkl,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",20250526_181934
RandomForest,FI_vs_T_no_scaling,NONE,False,2,1.0,0.9861111111111112,experiment_results_20250526_181934/RandomForest_FI_vs_T_no_scaling_NONE_20250526_181938.pkl,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",20250526_181934
RandomForest,FI_vs_T_no_scaling,NONE,False,3,1.0,0.9861111111111112,experiment_results_20250526_181934/RandomForest_FI_vs_T_no_scaling_NONE_20250526_181938.pkl,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",20250526_181934
RandomForest,FI_vs_T_no_scaling,NONE,False,4,1.0,1.0,experiment_results_20250526_181934/RandomForest_FI_vs_T_no_scaling_NONE_20250526_181938.pkl,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",20250526_181934
RandomForest,FI_vs_T_no_scaling,NONE,False,5,1.0,1.0,experiment_results_20250526_181934/RandomForest_FI_vs_T_no_scaling_NONE_20250526_181938.pkl,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",20250526_181934
XGBoost,FI_vs_T_no_scaling,NONE,False,1,1.0,0.6944444444444444,experiment_results_20250526_181934/XGBoost_FI_vs_T_no_scaling_NONE_20250526_181949.pkl,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100, 'reg_lambda': 1, 'subsample': 0.8}",20250526_181934
XGBoost,FI_vs_T_no_scaling,NONE,False,2,1.0,0.8055555555555556,experiment_results_20250526_181934/XGBoost_FI_vs_T_no_scaling_NONE_20250526_181949.pkl,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100, 'reg_lambda': 1, 'subsample': 0.8}",20250526_181934
XGBoost,FI_vs_T_no_scaling,NONE,False,3,1.0,0.8472222222222222,experiment_results_20250526_181934/XGBoost_FI_vs_T_no_scaling_NONE_20250526_181949.pkl,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100, 'reg_lambda': 1, 'subsample': 0.8}",20250526_181934
XGBoost,FI_vs_T_no_scaling,NONE,False,4,1.0,0.9166666666666666,experiment_results_20250526_181934/XGBoost_FI_vs_T_no_scaling_NONE_20250526_181949.pkl,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100, 'reg_lambda': 1, 'subsample': 0.8}",20250526_181934
XGBoost,FI_vs_T_no_scaling,NONE,False,5,1.0,0.9305555555555556,experiment_results_20250526_181934/XGBoost_FI_vs_T_no_scaling_NONE_20250526_181949.pkl,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100, 'reg_lambda': 1, 'subsample': 0.8}",20250526_181934
CatBoost,FI_vs_T_no_scaling,NONE,False,1,1.0,0.9583333333333334,experiment_results_20250526_181934/CatBoost_FI_vs_T_no_scaling_NONE_20250526_182023.pkl,"{'border_count': 32, 'depth': 4, 'iterations': 200, 'l2_leaf_reg': 3, 'learning_rate': 0.1}",20250526_181934
CatBoost,FI_vs_T_no_scaling,NONE,False,2,1.0,1.0,experiment_results_20250526_181934/CatBoost_FI_vs_T_no_scaling_NONE_20250526_182023.pkl,"{'border_count': 32, 'depth': 4, 'iterations': 200, 'l2_leaf_reg': 3, 'learning_rate': 0.1}",20250526_181934
CatBoost,FI_vs_T_no_scaling,NONE,False,3,1.0,1.0,experiment_results_20250526_181934/CatBoost_FI_vs_T_no_scaling_NONE_20250526_182023.pkl,"{'border_count': 32, 'depth': 4, 'iterations': 200, 'l2_leaf_reg': 3, 'learning_rate': 0.1}",20250526_181934
CatBoost,FI_vs_T_no_scaling,NONE,False,4,1.0,1.0,experiment_results_20250526_181934/CatBoost_FI_vs_T_no_scaling_NONE_20250526_182023.pkl,"{'border_count': 32, 'depth': 4, 'iterations': 200, 'l2_leaf_reg': 3, 'learning_rate': 0.1}",20250526_181934
CatBoost,FI_vs_T_no_scaling,NONE,False,5,1.0,1.0,experiment_results_20250526_181934/CatBoost_FI_vs_T_no_scaling_NONE_20250526_182023.pkl,"{'border_count': 32, 'depth': 4, 'iterations': 200, 'l2_leaf_reg': 3, 'learning_rate': 0.1}",20250526_181934
SVM,FI_vs_T_SVM,NONE,False,1,0.0,0.027777777777777776,experiment_results_20250526_181934/SVM_FI_vs_T_SVM_NONE_20250526_182024.pkl,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",20250526_181934
SVM,FI_vs_T_SVM,NONE,False,2,0.0,0.027777777777777776,experiment_results_20250526_181934/SVM_FI_vs_T_SVM_NONE_20250526_182024.pkl,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",20250526_181934
SVM,FI_vs_T_SVM,NONE,False,3,0.0,0.041666666666666664,experiment_results_20250526_181934/SVM_FI_vs_T_SVM_NONE_20250526_182024.pkl,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",20250526_181934
SVM,FI_vs_T_SVM,NONE,False,4,0.0,0.05555555555555555,experiment_results_20250526_181934/SVM_FI_vs_T_SVM_NONE_20250526_182024.pkl,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",20250526_181934
SVM,FI_vs_T_SVM,NONE,False,5,0.0,0.05555555555555555,experiment_results_20250526_181934/SVM_FI_vs_T_SVM_NONE_20250526_182024.pkl,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",20250526_181934
RandomForest,FT_vs_I_no_scaling,NONE,False,1,1.0,0.9305555555555556,experiment_results_20250526_181934/RandomForest_FT_vs_I_no_scaling_NONE_20250526_182027.pkl,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",20250526_181934
RandomForest,FT_vs_I_no_scaling,NONE,False,2,1.0,0.9861111111111112,experiment_results_20250526_181934/RandomForest_FT_vs_I_no_scaling_NONE_20250526_182027.pkl,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",20250526_181934
RandomForest,FT_vs_I_no_scaling,NONE,False,3,1.0,0.9861111111111112,experiment_results_20250526_181934/RandomForest_FT_vs_I_no_scaling_NONE_20250526_182027.pkl,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",20250526_181934
RandomForest,FT_vs_I_no_scaling,NONE,False,4,1.0,0.9861111111111112,experiment_results_20250526_181934/RandomForest_FT_vs_I_no_scaling_NONE_20250526_182027.pkl,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",20250526_181934
RandomForest,FT_vs_I_no_scaling,NONE,False,5,1.0,1.0,experiment_results_20250526_181934/RandomForest_FT_vs_I_no_scaling_NONE_20250526_182027.pkl,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",20250526_181934
XGBoost,FT_vs_I_no_scaling,NONE,False,1,1.0,0.7916666666666666,experiment_results_20250526_181934/XGBoost_FT_vs_I_no_scaling_NONE_20250526_182038.pkl,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200, 'reg_lambda': 1, 'subsample': 0.8}",20250526_181934
XGBoost,FT_vs_I_no_scaling,NONE,False,2,1.0,0.8888888888888888,experiment_results_20250526_181934/XGBoost_FT_vs_I_no_scaling_NONE_20250526_182038.pkl,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200, 'reg_lambda': 1, 'subsample': 0.8}",20250526_181934
XGBoost,FT_vs_I_no_scaling,NONE,False,3,1.0,0.9027777777777778,experiment_results_20250526_181934/XGBoost_FT_vs_I_no_scaling_NONE_20250526_182038.pkl,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200, 'reg_lambda': 1, 'subsample': 0.8}",20250526_181934
XGBoost,FT_vs_I_no_scaling,NONE,False,4,1.0,0.9305555555555556,experiment_results_20250526_181934/XGBoost_FT_vs_I_no_scaling_NONE_20250526_182038.pkl,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200, 'reg_lambda': 1, 'subsample': 0.8}",20250526_181934
XGBoost,FT_vs_I_no_scaling,NONE,False,5,1.0,0.9444444444444444,experiment_results_20250526_181934/XGBoost_FT_vs_I_no_scaling_NONE_20250526_182038.pkl,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200, 'reg_lambda': 1, 'subsample': 0.8}",20250526_181934
CatBoost,FT_vs_I_no_scaling,NONE,False,1,1.0,0.9444444444444444,experiment_results_20250526_181934/CatBoost_FT_vs_I_no_scaling_NONE_20250526_182113.pkl,"{'border_count': 32, 'depth': 6, 'iterations': 200, 'l2_leaf_reg': 3, 'learning_rate': 0.1}",20250526_181934
CatBoost,FT_vs_I_no_scaling,NONE,False,2,1.0,0.9722222222222222,experiment_results_20250526_181934/CatBoost_FT_vs_I_no_scaling_NONE_20250526_182113.pkl,"{'border_count': 32, 'depth': 6, 'iterations': 200, 'l2_leaf_reg': 3, 'learning_rate': 0.1}",20250526_181934
CatBoost,FT_vs_I_no_scaling,NONE,False,3,1.0,0.9861111111111112,experiment_results_20250526_181934/CatBoost_FT_vs_I_no_scaling_NONE_20250526_182113.pkl,"{'border_count': 32, 'depth': 6, 'iterations': 200, 'l2_leaf_reg': 3, 'learning_rate': 0.1}",20250526_181934
CatBoost,FT_vs_I_no_scaling,NONE,False,4,1.0,1.0,experiment_results_20250526_181934/CatBoost_FT_vs_I_no_scaling_NONE_20250526_182113.pkl,"{'border_count': 32, 'depth': 6, 'iterations': 200, 'l2_leaf_reg': 3, 'learning_rate': 0.1}",20250526_181934
CatBoost,FT_vs_I_no_scaling,NONE,False,5,1.0,1.0,experiment_results_20250526_181934/CatBoost_FT_vs_I_no_scaling_NONE_20250526_182113.pkl,"{'border_count': 32, 'depth': 6, 'iterations': 200, 'l2_leaf_reg': 3, 'learning_rate': 0.1}",20250526_181934
SVM,FT_vs_I_SVM,NONE,False,1,0.0,0.0,experiment_results_20250526_181934/SVM_FT_vs_I_SVM_NONE_20250526_182114.pkl,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",20250526_181934
SVM,FT_vs_I_SVM,NONE,False,2,0.0,0.013888888888888888,experiment_results_20250526_181934/SVM_FT_vs_I_SVM_NONE_20250526_182114.pkl,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",20250526_181934
SVM,FT_vs_I_SVM,NONE,False,3,0.0,0.027777777777777776,experiment_results_20250526_181934/SVM_FT_vs_I_SVM_NONE_20250526_182114.pkl,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",20250526_181934
SVM,FT_vs_I_SVM,NONE,False,4,0.006944444444444444,0.05555555555555555,experiment_results_20250526_181934/SVM_FT_vs_I_SVM_NONE_20250526_182114.pkl,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",20250526_181934
SVM,FT_vs_I_SVM,NONE,False,5,0.013888888888888888,0.05555555555555555,experiment_results_20250526_181934/SVM_FT_vs_I_SVM_NONE_20250526_182114.pkl,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",20250526_181934
RandomForest,IF_vs_T_no_scaling,NONE,False,1,1.0,0.9444444444444444,experiment_results_20250526_181934/RandomForest_IF_vs_T_no_scaling_NONE_20250526_182117.pkl,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",20250526_181934
RandomForest,IF_vs_T_no_scaling,NONE,False,2,1.0,0.9861111111111112,experiment_results_20250526_181934/RandomForest_IF_vs_T_no_scaling_NONE_20250526_182117.pkl,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",20250526_181934
RandomForest,IF_vs_T_no_scaling,NONE,False,3,1.0,0.9861111111111112,experiment_results_20250526_181934/RandomForest_IF_vs_T_no_scaling_NONE_20250526_182117.pkl,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",20250526_181934
RandomForest,IF_vs_T_no_scaling,NONE,False,4,1.0,1.0,experiment_results_20250526_181934/RandomForest_IF_vs_T_no_scaling_NONE_20250526_182117.pkl,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",20250526_181934
RandomForest,IF_vs_T_no_scaling,NONE,False,5,1.0,1.0,experiment_results_20250526_181934/RandomForest_IF_vs_T_no_scaling_NONE_20250526_182117.pkl,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",20250526_181934
XGBoost,IF_vs_T_no_scaling,NONE,False,1,1.0,0.6944444444444444,experiment_results_20250526_181934/XGBoost_IF_vs_T_no_scaling_NONE_20250526_182126.pkl,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100, 'reg_lambda': 1, 'subsample': 0.8}",20250526_181934
XGBoost,IF_vs_T_no_scaling,NONE,False,2,1.0,0.8055555555555556,experiment_results_20250526_181934/XGBoost_IF_vs_T_no_scaling_NONE_20250526_182126.pkl,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100, 'reg_lambda': 1, 'subsample': 0.8}",20250526_181934
XGBoost,IF_vs_T_no_scaling,NONE,False,3,1.0,0.8472222222222222,experiment_results_20250526_181934/XGBoost_IF_vs_T_no_scaling_NONE_20250526_182126.pkl,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100, 'reg_lambda': 1, 'subsample': 0.8}",20250526_181934
XGBoost,IF_vs_T_no_scaling,NONE,False,4,1.0,0.9166666666666666,experiment_results_20250526_181934/XGBoost_IF_vs_T_no_scaling_NONE_20250526_182126.pkl,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100, 'reg_lambda': 1, 'subsample': 0.8}",20250526_181934
XGBoost,IF_vs_T_no_scaling,NONE,False,5,1.0,0.9305555555555556,experiment_results_20250526_181934/XGBoost_IF_vs_T_no_scaling_NONE_20250526_182126.pkl,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100, 'reg_lambda': 1, 'subsample': 0.8}",20250526_181934
CatBoost,IF_vs_T_no_scaling,NONE,False,1,1.0,0.9583333333333334,experiment_results_20250526_181934/CatBoost_IF_vs_T_no_scaling_NONE_20250526_182200.pkl,"{'border_count': 32, 'depth': 4, 'iterations': 200, 'l2_leaf_reg': 3, 'learning_rate': 0.1}",20250526_181934
CatBoost,IF_vs_T_no_scaling,NONE,False,2,1.0,1.0,experiment_results_20250526_181934/CatBoost_IF_vs_T_no_scaling_NONE_20250526_182200.pkl,"{'border_count': 32, 'depth': 4, 'iterations': 200, 'l2_leaf_reg': 3, 'learning_rate': 0.1}",20250526_181934
CatBoost,IF_vs_T_no_scaling,NONE,False,3,1.0,1.0,experiment_results_20250526_181934/CatBoost_IF_vs_T_no_scaling_NONE_20250526_182200.pkl,"{'border_count': 32, 'depth': 4, 'iterations': 200, 'l2_leaf_reg': 3, 'learning_rate': 0.1}",20250526_181934
CatBoost,IF_vs_T_no_scaling,NONE,False,4,1.0,1.0,experiment_results_20250526_181934/CatBoost_IF_vs_T_no_scaling_NONE_20250526_182200.pkl,"{'border_count': 32, 'depth': 4, 'iterations': 200, 'l2_leaf_reg': 3, 'learning_rate': 0.1}",20250526_181934
CatBoost,IF_vs_T_no_scaling,NONE,False,5,1.0,1.0,experiment_results_20250526_181934/CatBoost_IF_vs_T_no_scaling_NONE_20250526_182200.pkl,"{'border_count': 32, 'depth': 4, 'iterations': 200, 'l2_leaf_reg': 3, 'learning_rate': 0.1}",20250526_181934
SVM,IF_vs_T_SVM,NONE,False,1,0.0,0.027777777777777776,experiment_results_20250526_181934/SVM_IF_vs_T_SVM_NONE_20250526_182201.pkl,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",20250526_181934
SVM,IF_vs_T_SVM,NONE,False,2,0.0,0.027777777777777776,experiment_results_20250526_181934/SVM_IF_vs_T_SVM_NONE_20250526_182201.pkl,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",20250526_181934
SVM,IF_vs_T_SVM,NONE,False,3,0.0,0.041666666666666664,experiment_results_20250526_181934/SVM_IF_vs_T_SVM_NONE_20250526_182201.pkl,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",20250526_181934
SVM,IF_vs_T_SVM,NONE,False,4,0.0,0.05555555555555555,experiment_results_20250526_181934/SVM_IF_vs_T_SVM_NONE_20250526_182201.pkl,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",20250526_181934
SVM,IF_vs_T_SVM,NONE,False,5,0.0,0.05555555555555555,experiment_results_20250526_181934/SVM_IF_vs_T_SVM_NONE_20250526_182201.pkl,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",20250526_181934
RandomForest,IT_vs_F_no_scaling,NONE,False,1,1.0,0.9166666666666666,experiment_results_20250526_181934/RandomForest_IT_vs_F_no_scaling_NONE_20250526_182204.pkl,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",20250526_181934
RandomForest,IT_vs_F_no_scaling,NONE,False,2,1.0,0.9583333333333334,experiment_results_20250526_181934/RandomForest_IT_vs_F_no_scaling_NONE_20250526_182204.pkl,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",20250526_181934
RandomForest,IT_vs_F_no_scaling,NONE,False,3,1.0,0.9583333333333334,experiment_results_20250526_181934/RandomForest_IT_vs_F_no_scaling_NONE_20250526_182204.pkl,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",20250526_181934
RandomForest,IT_vs_F_no_scaling,NONE,False,4,1.0,0.9583333333333334,experiment_results_20250526_181934/RandomForest_IT_vs_F_no_scaling_NONE_20250526_182204.pkl,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",20250526_181934
RandomForest,IT_vs_F_no_scaling,NONE,False,5,1.0,0.9583333333333334,experiment_results_20250526_181934/RandomForest_IT_vs_F_no_scaling_NONE_20250526_182204.pkl,"{'bootstrap': True, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",20250526_181934
XGBoost,IT_vs_F_no_scaling,NONE,False,1,1.0,0.7083333333333334,experiment_results_20250526_181934/XGBoost_IT_vs_F_no_scaling_NONE_20250526_182214.pkl,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200, 'reg_lambda': 1, 'subsample': 0.8}",20250526_181934
XGBoost,IT_vs_F_no_scaling,NONE,False,2,1.0,0.8194444444444444,experiment_results_20250526_181934/XGBoost_IT_vs_F_no_scaling_NONE_20250526_182214.pkl,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200, 'reg_lambda': 1, 'subsample': 0.8}",20250526_181934
XGBoost,IT_vs_F_no_scaling,NONE,False,3,1.0,0.875,experiment_results_20250526_181934/XGBoost_IT_vs_F_no_scaling_NONE_20250526_182214.pkl,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200, 'reg_lambda': 1, 'subsample': 0.8}",20250526_181934
XGBoost,IT_vs_F_no_scaling,NONE,False,4,1.0,0.8888888888888888,experiment_results_20250526_181934/XGBoost_IT_vs_F_no_scaling_NONE_20250526_182214.pkl,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200, 'reg_lambda': 1, 'subsample': 0.8}",20250526_181934
XGBoost,IT_vs_F_no_scaling,NONE,False,5,1.0,0.9166666666666666,experiment_results_20250526_181934/XGBoost_IT_vs_F_no_scaling_NONE_20250526_182214.pkl,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200, 'reg_lambda': 1, 'subsample': 0.8}",20250526_181934
CatBoost,IT_vs_F_no_scaling,NONE,False,1,1.0,0.8888888888888888,experiment_results_20250526_181934/CatBoost_IT_vs_F_no_scaling_NONE_20250526_182250.pkl,"{'border_count': 32, 'depth': 6, 'iterations': 200, 'l2_leaf_reg': 3, 'learning_rate': 0.1}",20250526_181934
CatBoost,IT_vs_F_no_scaling,NONE,False,2,1.0,0.9722222222222222,experiment_results_20250526_181934/CatBoost_IT_vs_F_no_scaling_NONE_20250526_182250.pkl,"{'border_count': 32, 'depth': 6, 'iterations': 200, 'l2_leaf_reg': 3, 'learning_rate': 0.1}",20250526_181934
CatBoost,IT_vs_F_no_scaling,NONE,False,3,1.0,0.9722222222222222,experiment_results_20250526_181934/CatBoost_IT_vs_F_no_scaling_NONE_20250526_182250.pkl,"{'border_count': 32, 'depth': 6, 'iterations': 200, 'l2_leaf_reg': 3, 'learning_rate': 0.1}",20250526_181934
CatBoost,IT_vs_F_no_scaling,NONE,False,4,1.0,0.9722222222222222,experiment_results_20250526_181934/CatBoost_IT_vs_F_no_scaling_NONE_20250526_182250.pkl,"{'border_count': 32, 'depth': 6, 'iterations': 200, 'l2_leaf_reg': 3, 'learning_rate': 0.1}",20250526_181934
CatBoost,IT_vs_F_no_scaling,NONE,False,5,1.0,0.9722222222222222,experiment_results_20250526_181934/CatBoost_IT_vs_F_no_scaling_NONE_20250526_182250.pkl,"{'border_count': 32, 'depth': 6, 'iterations': 200, 'l2_leaf_reg': 3, 'learning_rate': 0.1}",20250526_181934
SVM,IT_vs_F_SVM,NONE,False,1,0.0,0.0,experiment_results_20250526_181934/SVM_IT_vs_F_SVM_NONE_20250526_182251.pkl,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",20250526_181934
SVM,IT_vs_F_SVM,NONE,False,2,0.0,0.0,experiment_results_20250526_181934/SVM_IT_vs_F_SVM_NONE_20250526_182251.pkl,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",20250526_181934
SVM,IT_vs_F_SVM,NONE,False,3,0.006944444444444444,0.027777777777777776,experiment_results_20250526_181934/SVM_IT_vs_F_SVM_NONE_20250526_182251.pkl,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",20250526_181934
SVM,IT_vs_F_SVM,NONE,False,4,0.006944444444444444,0.027777777777777776,experiment_results_20250526_181934/SVM_IT_vs_F_SVM_NONE_20250526_182251.pkl,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",20250526_181934
